number;name;address;latitude;longitude;idstation;ville
22.0;#00022-CAMPUS KIRCHBIERG;CAMPUS KIRCHBIERG - BOULEVARD JF KENNEDY / RUE K KALERGI;49.6264;6.1613;48;luxembourg
106.0;#00106-LEUDELANGE CENTRE;CENTRE - RUE DU LAVOIR;49.567305;6.064291;49;luxembourg
73.0;#00073-JEANNE D'ARC;- JEANNE D'ARC - PLACE JEANNE D'ARC;49.59691;6.147957;50;luxembourg
13.0;#00013-GELLE FRA;GELLE FRA - Bd Franklin Delano Roosevelt 33;49.60951;6.128503;51;luxembourg
127.0;#00127-MAMBRA;Route d'Arlon 106;49.63189;6.021562;52;luxembourg
56.0;#00056-FISCHERHAFF;FISCHERHAFF- RUE DE CESSANGE 177;49.5911;6.1057;53;luxembourg
130.0;#00130-LYCÉE JOSY BARTEL MAMER;Rue Gaston Thorn 4;49.622397;6.036232;54;luxembourg
25.0;#00025-KIEM;KIEM - CIRCUIT DE LA FOIRE / RUE ALPHONSE WEICKER;49.634283;6.166633;55;luxembourg
120.0;#00120-A RILSPERT;Rue des Platanes;49.60751;6.045842;56;luxembourg
48.0;#00048-BGL BNP PARIBAS;BGL BNP PARIBAS  - RUE EDOUARD STEICHEN ( FACE N° 10 );49.632179;6.174446;57;luxembourg
80.0;#00080-INS;Rue du Fort Dumoulin/Rue de Trèves;49.612542;6.147918;58;luxembourg
65.0;#00065-BEI DER SCHOUL;BEI DER SCHOUL - RUE FERDINAND KUHN;49.58421;6.14202;59;luxembourg
104.0;#00104-ITZIG VILLAGE/PLACE MANDERSCHEID;ITZIG VILLAGE/PLACE MANDERSCHEID - RUE DE HESPÉRANGE N°3;49.58574;6.171965;60;luxembourg
122.0;#00122-DICKS;RUE DE LEUDELANGE;49.604944;6.05228;61;luxembourg
15.0;#00015-THEATER PLAZ;THEATER PLAZ - PLACE DU THEATRE ( FACE N°1 );49.612782;6.131208;62;luxembourg
129.0;#00129-GARE CAPELLEN;Rue de la Gare 106;49.638604;5.982361;63;luxembourg
7.0;#00007-ROUSEGAERTCHEN;ROUSEGAERTCHEN - PLACE DES MARTYRS;49.605818;6.129062;64;luxembourg
92.0;#00092-BRILL (CESSANGE);Rue des Prunelles/Bd du Brill;49.58914;6.099213;65;luxembourg
52.0;#00052-BEI DER AUER;BEI DER AUER - RUE DE GASPERICH ( DEVANT N° 20 );49.591404;6.125333;66;luxembourg
84.0;#00084-BITBOURG;Rue de Bitbourg devant n°20;49.61349;6.17066;67;luxembourg
37.0;#00037-GAULOIS;GAULOIS - RUE DES GAULOIS 11;49.60164;6.13736;68;luxembourg
91.0;#00091-MERSCH (MÜHLENBACH);Rue de Mühlenbach/ Rue Jules Mersch;49.627834;6.122333;69;luxembourg
35.0;#00035-GASTON DIDERICH;GASTON DIDERICH - AVENUE GASTON DIDERICH;49.609904;6.106099;70;luxembourg
114.0;#00114-ROND-POINT MOTEL;ROND-POINT MOTEL - ROUTE D'ARLON N°1 / ROUTE DE KOERICH;49.641375;6.001651;71;luxembourg
57.0;#00057-BOUILLON;BOUILLON - RUE DE BOUILLON / PARKING;49.60001;6.10826;72;luxembourg
4.0;#00004-ROCADE;ROCADE-RUE DU LABORATOIRE ( DEVANT VDL );49.602989;6.136083;73;luxembourg
55.0;#00055-SCHAARFEN ECK;- SCHAARFEN ECK- RUE EMILE BIAN;49.58043;6.11465;74;luxembourg
132.0;#00132-CENTRE DE TENNIS PAUL GLÜCK;Rannerwee 13;49.642519;5.99179;75;luxembourg
86.0;#00086-PWC - BD KOCKELSCHEUER;Rue Gerhard Mercator n°2/Bd de Kockelscheuer;49.580242;6.120862;76;luxembourg
29.0;#00029-MONTEREY;MONTEREY - AVENUE DE MONTEREY ( FACE N° 49 );49.609583;6.119523;77;luxembourg
103.0;#00103-ALZINGEN GÄSSEL;ALZINGEN GÄSSEL - RUE DE L'ECOLE ANGLE RUE DE SYREN;49.568074;6.163927;78;luxembourg
49.0;#00049-MARGUERITES;MARGUERITES - RUE DES MARGUERITES ( FACE N° 105 A );49.623837;6.160642;79;luxembourg
105.0;#00105-ITZIG PLATEAU/HUBERTUSPAD;ITZIG PLATEAU/HUBERTUSPAD - RUE DE LA LIBÉRATION N°28;49.587633;6.170123;80;luxembourg
12.0;#00012-HAMILIUS;HAMILIUS - Avenue Monterey;49.610738;6.126743;81;luxembourg
5.0;#00005-PARAISER PLAZ;PARAISER PLAZ - Rue Sainte ZITHE devant n°49 angle Place de Paris;49.603694;6.130189;82;luxembourg
44.0;#00044-ARELER STROOSS;ARELER STROOSS - RUE DES AUBEPINES ( FACE N° 187 );49.6162;6.0984;83;luxembourg
147.0;#00147-VERLUEREKASCHT;Rue Auguste Lumière 17;49.6051104;6.1411026;84;luxembourg
112.0;#00112-PLACE DE L'INDEPENDANCE;ADMINISTRATION COMMUNALE - RUE DE MARCHÉ / PLACE DE L'INDÉPENDANCE;49.62635;6.022996;85;luxembourg
124.0;#00124-BARTRENG - CITE RIEDGEN;CITÉ RIEDGEN;49.616795;6.058614;86;luxembourg
109.0;#00109-FOYER;FOYER - RUE LÉON LAVAL N°21;49.569178;6.08175;87;luxembourg
31.0;#00031-PLACE DE FRANCE;PLACE DE FRANCE - PLACE DE FRANCE;49.60625;6.105961;88;luxembourg
36.0;#00036-J.B. GELLE;J.B. GELLE - RUE JEAN- BAPTISTE GELLE ( DEVANT N° 6 );49.596838;6.140615;89;luxembourg
